title,url,year,issue
Characteristics of Concrete Contact Stresses in Doweled Transverse Joints,https://www.tandfonline.com/doi/abs/10.1080/1029843021000004024,2002,2
Evaluating the Structural Strength of Flexible Pavements in Taiwan Using the Falling Weight Deflectometer,https://www.tandfonline.com/doi/abs/10.1080/1029843021000067854,2002,3
An Alternative Approach for the Determination of Bulk Specific Gravity and Permeability of Hot Mix Asphalt (HMA),https://www.tandfonline.com/doi/abs/10.1080/1029843021000067782,2002,3
Low-temperature Fracture in Reactive-ethylene-terpolymer-modified Asphalt Binders,https://www.tandfonline.com/doi/abs/10.1080/1029843021000067809,2002,3
"Analytical Model for Prediction of Fatigue Life of Asphalt Concrete, Including Size Effect",https://www.tandfonline.com/doi/abs/10.1080/1029843021000067818,2002,3
Lives of Mill-and-inlay Rehabilitation Strategies,https://www.tandfonline.com/doi/abs/10.1080/1029843021000067827,2002,3
Bayesian Regression Methodology for Project Prioritization,https://www.tandfonline.com/doi/abs/10.1080/1029843021000067836,2002,3
"Quantifying Seal Coat Surface Condition Using Digital Image Processing Based on Information Theory
",https://www.tandfonline.com/doi/full/10.1080/1029843021000101693,2002,4
"Relating Road Roughness and Vehicle Speeds to Human Whole Body Vibration and Exposure Limits
",https://www.tandfonline.com/doi/full/10.1080/10298430210001701,2002,4
"Effects of Asphalt Pavement Properties on Complex Permittivity
",https://www.tandfonline.com/doi/full/10.1080/1029843021000041140,2002,4
"Calibration of a Pavement Roughness Model Based on Finite Element Simulation
",https://www.tandfonline.com/doi/full/10.1080/1029843031000064694,2002,4
"Finite Element and Distress Models for Geosynthetic-reinforced Pavements
",https://www.tandfonline.com/doi/full/10.1080/1029843021000083504,2002,4
"Discussion: Three Stages of Permanent Deformation Curve and Rutting Model
",https://www.tandfonline.com/doi/full/10.1080/1029843021000083676,2002,4
"Determining Rejuvenator Content for Recycling Reclaimed Asphalt Pavement by SHRP Binder Specifications
",https://www.tandfonline.com/doi/full/10.1080/1029843021000083685,2002,4
"An Optimum Design Approach for Flexible Pavements
",https://www.tandfonline.com/doi/full/10.1080/1029843031000087464,2003,1
"How Temperature and Loading Rate Affect the Yield Behavior in Polymer-modified Asphalt Systems
",https://www.tandfonline.com/doi/full/10.1080/1029843031000097580,2003,1
"Workability and Performance of Polymer-modified Asphalt Aggregate Mixtures in Cold Regions
",https://www.tandfonline.com/doi/full/10.1080/1029843031000097535,2003,1
"A Design Model for Geosynthetic-reinforced Pavements
",https://www.tandfonline.com/doi/full/10.1080/1029843031000097562,2003,1
"Modeling Longitudinal, Corner and Transverse Cracking in Jointed Concrete Pavements
",https://www.tandfonline.com/doi/full/10.1080/102984303100016073393,2003,1
"A Laboratory and Statistical Evaluation of Factors Affecting Rutting
",https://www.tandfonline.com/doi/full/10.1080/10298430310001593263,2003,1
Fatigue Shift Factors to Predict HMA Performance,https://www.tandfonline.com/doi/full/10.1080/10298430310001593254,2003,2
Characterization of Asphalt Concrete Materials for Permanent Deformation,https://www.tandfonline.com/doi/full/10.1080/10298430310001593272,2003,2
Evaluation of Asphalt Mix Stability Using Compaction Properties and Aggregate Structure Analysis,https://www.tandfonline.com/doi/full/10.1080/10298430310001597043,2003,2
Absorption of Bitumen into Crumb Rubber Using the Basket Drainage Method,https://www.tandfonline.com/doi/full/10.1080/1029843032000158879,2003,2
Prediction of Pavement Remaining Service Life Using Roughness Data—Case Study in Dubai,https://www.tandfonline.com/doi/full/10.1080/10298430310001634834,2003,2
Nonlinear Temperature Gradient Effects in Dowel Jointed Concrete Slabs,https://www.tandfonline.com/doi/full/10.1080/10298430310001632629,2003,3
Characterization of Asphalt Concrete Deterioration Using Monotonic and Cyclic Tests,https://www.tandfonline.com/doi/full/10.1080/10298430310001646002,2003,3
