journal,article_nr,n_chars,n_words
journal_6,6145,9917,1280
journal_6,6146,142400,20669
journal_6,6147,80507,11090
journal_6,6148,92756,13120
journal_6,6149,118117,16763
journal_6,615,46818,6854
journal_6,6150,9917,1280
journal_6,6151,82823,11842
journal_6,6152,118879,15785
journal_6,6153,77289,10706
journal_6,6154,119168,16982
journal_6,6155,177617,24883
journal_6,6156,80241,11071
journal_6,6157,158524,22113
journal_6,6158,40240,5653
journal_6,6159,69447,9181
journal_6,616,91935,13347
journal_6,6160,95987,13616
journal_6,6161,91732,12999
journal_6,6162,132714,17666
journal_6,6163,90070,12361
journal_6,6164,111699,15374
journal_6,6165,67523,9574
journal_6,6166,9918,1282
journal_6,6167,84063,11919
journal_6,6168,99058,13945
journal_6,6169,100862,14688
journal_6,617,57289,8608
journal_6,6170,144070,20102
journal_6,6171,128450,18394
journal_6,6172,105654,14634
journal_6,6173,85861,11978
journal_6,6174,80455,11335
journal_6,6175,63397,8668
journal_6,6176,82005,11518
journal_6,6177,144419,19670
journal_6,6178,94761,13864
journal_6,6179,126850,17401
journal_6,618,52466,7570
journal_6,6180,82613,11896
journal_6,6181,55744,7774
journal_6,6182,44411,5918
journal_6,6183,9919,1282
journal_6,6184,81963,11183
journal_6,6185,72713,10549
journal_6,6186,113874,15839
journal_6,6187,89384,12813
journal_6,6188,78002,10346
journal_6,6189,112460,16040
journal_6,619,71858,10546
journal_6,6190,118251,16566
journal_6,6191,92028,13083
journal_6,6192,102158,14168
journal_6,6193,109632,15660
journal_6,6194,9920,1282
journal_6,6195,141256,20105
journal_6,6196,63016,8921
journal_6,6197,176058,25117
journal_6,6198,123206,17644
journal_6,6199,83296,11963
journal_6,62,22207,3113
journal_6,620,26448,3730
journal_6,6200,68684,9644
journal_6,6201,59131,8295
journal_6,6202,113056,16796
journal_6,6203,44988,6525
journal_6,6204,99314,13907
journal_6,6205,78604,11214
journal_6,6206,116856,16512
journal_6,6207,87519,11582
journal_6,6208,83739,11970
journal_6,6209,54498,7753
journal_6,621,33432,5060
journal_6,6210,114530,15747
journal_6,6211,55611,7891
journal_6,6212,84138,11787
journal_6,6213,94189,12556
journal_6,6214,96776,13647
journal_6,6215,87297,12465
journal_6,6216,99313,14603
journal_6,6217,9899,1282
journal_6,6218,99481,14852
journal_6,6219,225446,31369
journal_6,622,38719,5781
journal_6,6220,65435,9004
journal_6,6221,113009,14745
journal_6,6222,141829,20189
journal_6,6223,77353,11241
journal_6,6224,66092,8957
journal_6,6225,81511,11484
journal_6,6226,88412,12209
journal_6,6227,133393,18048
journal_6,6228,136759,18695
journal_6,6229,58395,7816
journal_6,623,56560,7924
journal_6,6230,100531,13918
journal_6,6231,88725,12489
journal_6,6232,124266,17538
journal_6,6233,9904,1282
journal_6,6234,109641,15257
journal_6,6235,121016,16656
journal_6,6236,99261,14085
journal_6,6237,72080,9853
journal_6,6238,96046,14109
journal_6,6239,135217,19236
journal_6,624,80138,11390
journal_6,6240,102641,14568
journal_6,6241,131726,17666
journal_6,6242,137815,20188
journal_6,6243,80197,11179
journal_6,6244,49765,7342
journal_6,6245,96089,13346
journal_6,6246,94126,13493
journal_6,6247,73593,10286
journal_6,6248,84202,11565
journal_6,6249,140536,19347
journal_6,625,29193,4373
journal_6,6250,108471,15252
journal_6,6251,87956,11858
journal_6,6252,47911,6655
journal_6,6253,95897,13387
journal_6,6254,126191,17797
journal_6,6255,109446,14882
journal_6,6256,51180,7144
journal_6,6257,71894,9863
journal_6,6258,92741,12978
journal_6,6259,9909,1282
journal_6,626,10337,1341
journal_6,6260,70846,9575
journal_6,6261,101975,14513
journal_6,6262,63595,8885
journal_6,6263,86745,11892
journal_6,6264,156524,20130
journal_6,6265,76417,10104
journal_6,6266,106645,14975
journal_6,6267,94647,12960
journal_6,6268,111791,15137
journal_6,6269,129791,17550
journal_6,627,47873,7223
journal_6,6270,9909,1282
journal_6,6271,98588,13714
journal_6,6272,105841,14287
journal_6,6273,115368,15879
journal_6,6274,132897,18132
journal_6,6275,97511,13709
journal_6,6276,95754,13243
journal_6,6277,112179,14724
journal_6,6278,105483,14533
journal_6,6279,107520,14821
journal_6,628,54029,8199
journal_6,6280,96799,13373
journal_6,6281,100071,13569
journal_6,6282,120483,16641
journal_6,6283,94006,12806
journal_6,6284,111266,15347
journal_6,6285,97312,12965
journal_6,6286,95440,13718
journal_6,6287,136475,19190
journal_6,6288,126057,16177
journal_6,6289,98987,13827
journal_6,629,32602,4827
journal_6,6290,77123,10754
journal_6,6291,102482,13863
journal_6,6292,79060,11280
journal_6,6293,9906,1282
journal_6,6294,82214,11322
journal_6,6295,103544,14036
journal_6,6296,91060,12903
journal_6,6297,217063,28421
journal_6,6298,112808,15372
journal_6,6299,110873,15259
journal_6,63,41542,6114
journal_6,630,44076,6545
journal_6,6300,71047,10390
journal_6,6301,114189,15504
journal_6,6302,162664,22111
journal_6,6303,193506,27328
journal_6,6304,113710,15356
journal_6,6305,113029,15822
journal_6,6306,102570,14207
journal_6,6307,117738,16301
journal_6,6308,96286,13039
journal_6,6309,104527,14498
journal_6,631,52765,7745
journal_6,6310,130893,18018
journal_6,6311,98237,14217
journal_6,6312,96215,13211
journal_6,6313,139237,17743
journal_6,6314,129267,16281
journal_6,6315,110412,14616
journal_6,6316,91405,12778
journal_6,6317,9906,1282
journal_6,6318,69232,9790
journal_6,6319,105279,14272
journal_6,632,53752,7826
journal_6,6320,149943,19602
journal_6,6321,84285,11938
journal_6,6322,99089,13144
journal_6,6323,109168,15553
journal_6,6324,72438,10355
journal_6,6325,114759,16479
journal_6,6326,82650,11489
journal_6,6327,88605,13029
journal_6,6328,77769,10594
journal_6,6329,79458,11064
journal_6,633,40213,5828
journal_6,6330,80704,11333
journal_6,6331,102477,12922
journal_6,6332,91344,12762
journal_6,6333,103789,14615
journal_6,6334,103529,14152
journal_6,6335,83813,11624
journal_6,6336,70692,10311
journal_6,6337,118546,15628
journal_6,6338,87615,12500
journal_6,6339,93697,12989
journal_6,634,62008,9276
journal_6,6340,72732,9798
journal_6,6341,184161,25925
journal_6,6342,20274,2722
